股票代號,名稱,成交量,成交金額,開盤價,最高價,最低價,收盤價,漲跌價,成交筆數,RSI,KD,MACD,SMA,Momentum,籌碼集中度
00733,富邦臺灣中小,1244203,0,0.00,0.00,0.00,50.70,0.00,0,124.42,5.07,45.70,30.35,51.71,1244.20
00735,國泰臺韓科技,692702,0,0.00,0.00,0.00,60.30,0.00,0,69.27,6.03,55.30,35.15,61.51,692.70
00736,國泰新興市場,112074,0,0.00,0.00,0.00,28.89,0.00,0,11.21,2.89,23.89,19.45,29.47,112.07
00737,國泰AI機器人,567376,0,0.00,0.00,0.00,36.72,0.00,0,56.74,3.67,31.72,23.36,37.45,567.38
00738U,期元大道瓊白銀,41387789,0,0.00,0.00,0.00,87.00,0.00,0,4138.78,8.70,82.00,48.50,88.74,41387.79
00739,元大MSCI A股,81384,0,0.00,0.00,0.00,27.29,0.00,0,8.14,2.73,22.29,18.64,27.84,81.38
00752,中信中國50,2568761,0,0.00,0.00,0.00,26.71,0.00,0,256.88,2.67,21.71,18.36,27.24,2568.76
00753L,中信中國50正2,12069813,0,0.00,0.00,0.00,12.88,0.00,0,1206.98,1.29,7.88,11.44,13.14,12069.81
00757,統一FANG+,4093285,0,0.00,0.00,0.00,113.55,0.00,0,409.33,11.36,108.55,61.77,115.82,4093.28
00762,元大全球AI,353921,0,0.00,0.00,0.00,85.15,0.00,0,35.39,8.52,80.15,47.58,86.85,353.92
00763U,期街口道瓊銅,7580337,0,0.00,0.00,0.00,32.67,0.00,0,758.03,3.27,27.67,21.34,33.32,7580.34
00770,國泰北美科技,650517,0,0.00,0.00,0.00,53.50,0.00,0,65.05,5.35,48.50,31.75,54.57,650.52
00771,元大US高息特別股,22698,0,0.00,0.00,0.00,16.20,0.00,0,2.27,1.62,11.20,13.10,16.52,22.70
00775B,新光投等債15+,81328,0,0.00,0.00,0.00,33.04,0.00,0,8.13,3.30,28.04,21.52,33.70,81.33
